State,Year,Month,ActivityLevel,Temp,Precipitation,PMDI
Rhode Island,2009,12,1,66.4,2.32,-0.52
New Jersey,2009,12,6,70.6,3.32,0.53
Delaware,2009,12,1,33.9,4.55,2.57
Maryland,2009,12,4,72.3,3.63,1.96
West Virginia,2009,12,3,70,4.54,-0.12
Virginia,2009,12,6,72.5,3.49,1.56
North Carolina,2009,12,1,75.2,4.18,0.6
South Carolina,2009,12,1,78.4,3.43,0.37
Georgia,2009,12,4,78.3,3.64,1.85
Alabama,2009,12,6,77.9,5.23,2.56
Florida,2009,12,1,80.3,5.88,1.27
California,2010,1,5,78.4,0.22,-7.01
Oregon,2010,1,1,70,0.5,-0.52
Washington,2010,1,1,68.6,0.77,0.7
Montana,2010,1,1,67.6,0.69,0.97
Idaho,2010,1,1,69.3,0.39,-2.76
North Dakota,2010,1,1,66.8,1.57,5.68
Nevada,2010,1,1,76.1,0.77,-6.01
Arizona,2010,1,1,81.4,1.86,-4.64
Utah,2010,1,1,74.6,1.14,-4.2
South Dakota,2010,1,0,69.5,1.04,5.17
Wyoming,2010,1,1,66.4,1.18,1.58
Minnesota,2010,1,1,66.7,2.5,2.76
Colorado,2010,1,1,62.5,1.19,-0.63
New Mexico,2010,1,5,74.2,3.19,-2.81
Texas,2010,1,1,81.7,2.58,-3.03
Oklahoma,2010,1,1,77.8,4.57,1.41
Kansas,2010,1,1,75.5,2.39,-0.24
Nebraska,2010,1,3,71.2,1.72,0.9
Iowa,2010,1,1,68.8,3.3,2.27
Missouri,2010,1,1,72.6,2.59,0.37
Arkansas,2010,1,1,75.4,4.34,1.69
Louisiana,2010,1,6,80,5.95,1.58
Mississippi,2010,1,2,77.5,4.14,2.31
Tennessee,2010,1,1,73.4,4.13,2.04
Kentucky,2010,1,1,72.6,3.67,0.68
Illinois,2010,1,3,70.3,3.29,1.17
Wisconsin,2010,1,1,65.9,2.51,2.06
Michigan,2010,1,1,64.8,3.46,2.66
Indiana,2010,1,1,69.1,3.36,1.46
Ohio,2010,1,1,69.4,3.45,2.27
Pennsylvania,2010,1,1,69.1,4.53,1.72
New York,2010,1,1,67.4,5.33,3.06
Maine,2010,1,1,67.2,6.65,3.16
New Hampshire,2010,1,1,67.9,7.28,2.38
Vermont,2010,1,1,66.5,6.27,2.65
Massachusetts,2010,1,1,71.2,6.52,1.15
Connecticut,2010,1,1,71.9,4.84,0.06
Rhode Island,2010,1,1,72.3,4.66,0.45
New Jersey,2010,1,1,74.1,5.23,1.07
Delaware,2010,1,1,39.6,3.87,2.39
Maryland,2010,1,2,74.7,3.87,1.61
West Virginia,2010,1,3,69.6,4.03,-0.55
Virginia,2010,1,5,73.4,3.82,0.79
North Carolina,2010,1,1,75.7,5.25,0.2
South Carolina,2010,1,1,79.2,4.62,-0.3
Georgia,2010,1,3,78.9,3.96,0.42
Alabama,2010,1,2,77.8,3.36,1.33
Florida,2010,1,1,81.8,7.18,0.81
California,2010,2,6,74.9,0.45,-6.35
Oregon,2010,2,1,66.6,0.67,-0.84
Washington,2010,2,1,67.3,1.47,0.46
Montana,2010,2,1,64.8,3.7,2.86
Idaho,2010,2,1,63.8,2.29,-0.81
North Dakota,2010,2,3,67,4.44,7.38
Nevada,2010,2,1,69.5,1.49,-3.62
Arizona,2010,2,1,76.5,3.13,-2.32
Utah,2010,2,1,67.7,2.46,-1.51
South Dakota,2010,2,4,69.3,4.04,6.68
Wyoming,2010,2,1,62.5,2.33,3.01
Minnesota,2010,2,1,67.1,3.72,2.67
Colorado,2010,2,1,68.4,2.76,0.3
New Mexico,2010,2,10,70.5,2.16,-3.08
Texas,2010,2,2,82.6,1.73,-3.21
Oklahoma,2010,2,1,80.7,1.55,1.16
Kansas,2010,2,1,78.3,3.06,-0.13
Nebraska,2010,2,2,72.2,4.7,2.6
Iowa,2010,2,1,71.2,5.92,3.02
Missouri,2010,2,1,76.6,4.34,0.69
Arkansas,2010,2,2,78.7,2.89,1.86
Louisiana,2010,2,9,81.3,5.8,2.06
Mississippi,2010,2,5,79.8,3.71,2.36
Tennessee,2010,2,1,75.9,5,2.58
Kentucky,2010,2,1,75.1,5.46,1.95
Illinois,2010,2,3,73.8,5.19,1.96
Wisconsin,2010,2,1,67.1,5.2,2.91
Michigan,2010,2,1,66,3.56,2.75
Indiana,2010,2,1,72.4,4.96,2.18
Ohio,2010,2,1,71,4.14,2.53
Pennsylvania,2010,2,1,66.9,4.28,2
New York,2010,2,1,65.3,3.69,3
Maine,2010,2,1,64.4,3.34,2.77
New Hampshire,2010,2,1,64,3.58,2.27
Vermont,2010,2,1,63.3,3.48,2.24
Massachusetts,2010,2,1,67.2,3.07,0.71
Connecticut,2010,2,1,68.4,3.05,-0.56
Rhode Island,2010,2,1,68.6,2.55,-0.38
New Jersey,2010,2,1,70.8,4.08,0.74
Delaware,2010,2,1,52.9,4.42,2.49
Maryland,2010,2,3,71.8,3.93,1.17
West Virginia,2010,2,4,69.1,4.42,-0.1
Virginia,2010,2,3,71.3,4.69,1.07
North Carolina,2010,2,1,74.3,5.22,0.21
South Carolina,2010,2,1,78.3,4.31,-0.86
Georgia,2010,2,4,79.2,3.37,-1.19
Alabama,2010,2,5,79.5,3.25,0.26
Florida,2010,2,1,82.9,5.24,-1.04
California,2010,3,6,72.2,0.72,-5.29
Oregon,2010,3,1,60.8,1.14,-0.96
Washington,2010,3,1,59.9,1.8,-0.15
Montana,2010,3,1,55.1,1.2,2.15
Idaho,2010,3,1,57.6,1.53,-0.45
North Dakota,2010,3,3,57.8,1.19,6.66
Nevada,2010,3,1,65.5,1.19,-1.89
Arizona,2010,3,1,74.2,2.49,0.13
Utah,2010,3,1,64.2,2.66,1.58
South Dakota,2010,3,1,60.5,1.61,6.4
Wyoming,2010,3,1,55.8,1.95,3.37
Minnesota,2010,3,1,58.5,2.36,1.74
Colorado,2010,3,1,64.7,2.59,1.24
New Mexico,2010,3,6,66.5,3.15,-0.66
Texas,2010,3,1,76.4,3.59,-2.49
Oklahoma,2010,3,1,73.3,2.57,0.18
Kansas,2010,3,1,68.3,2.98,0.12
Nebraska,2010,3,1,62.9,2.57,2.76
Iowa,2010,3,1,62,4.35,3.36
Missouri,2010,3,5,67.1,3.85,0.76
Arkansas,2010,3,2,72.6,2.42,0.95
Louisiana,2010,3,6,78.1,2.99,1.32
Mississippi,2010,3,6,76.5,2.54,1.32
Tennessee,2010,3,1,70.7,2.23,1.6
Kentucky,2010,3,1,68.2,2.19,0.81
Illinois,2010,3,2,64.7,4.11,2.36
Wisconsin,2010,3,1,58.2,3.86,2.78
Michigan,2010,3,1,58.8,3.92,2.85
Indiana,2010,3,1,64,3.48,2.38
Ohio,2010,3,1,64,2.19,1.64
Pennsylvania,2010,3,1,62.5,1.88,0.3
New York,2010,3,1,60.1,2.12,1.3
Maine,2010,3,1,56.4,1.61,0.52
New Hampshire,2010,3,1,57.8,1.63,0.37
Vermont,2010,3,1,57.5,1.85,0.27
Massachusetts,2010,3,1,62.3,1.43,-0.83
Connecticut,2010,3,1,63.6,1.39,-1.71
Rhode Island,2010,3,1,64.4,0.86,-1.31
New Jersey,2010,3,1,66.9,2.5,-0.48
Delaware,2010,3,1,64.9,3.06,1.35
Maryland,2010,3,2,68.1,2.64,0.05
West Virginia,2010,3,4,64.8,2.2,-0.75
Virginia,2010,3,3,68.1,2.97,0.3
North Carolina,2010,3,1,71.2,5.47,0.9
South Carolina,2010,3,3,74.3,5.47,-0.49
Georgia,2010,3,2,75.5,4.97,-0.72
Alabama,2010,3,6,76.3,2.51,-1.14
Florida,2010,3,1,79.7,8.85,0.67
California,2010,4,5,64.4,1.06,-5.29
Oregon,2010,4,1,52.9,3.5,-0.43
Washington,2010,4,1,51.9,6.01,0.99
Montana,2010,4,1,47.9,0.96,0.79
Idaho,2010,4,1,48.5,1.29,-1.39
North Dakota,2010,4,3,46.5,0.53,5.19
Nevada,2010,4,1,55.4,0.12,-3.28
Arizona,2010,4,1,64.9,0.6,-0.63
Utah,2010,4,1,53.1,0.2,-0.38
South Dakota,2010,4,1,50.3,0.57,4.85
Wyoming,2010,4,1,46.9,0.57,1.41
Minnesota,2010,4,1,46.2,1.19,0.48
Colorado,2010,4,1,60,2.08,1.63
New Mexico,2010,4,3,57.4,0.67,-1.58
Texas,2010,4,1,69.6,1.76,-2.93
Oklahoma,2010,4,1,64.6,3.44,0.15
Kansas,2010,4,1,58.9,2.75,0.69
Nebraska,2010,4,4,53.2,1.34,2.53
Iowa,2010,4,1,51.2,3.17,3.69
Missouri,2010,4,1,57.8,6.23,1.8
Arkansas,2010,4,1,63.7,5.43,1.78
Louisiana,2010,4,1,69,3.28,1.06
Mississippi,2010,4,1,66.5,4.28,1.82
Tennessee,2010,4,1,60.2,7.01,3.28
Kentucky,2010,4,1,57.7,5.69,2.53
Illinois,2010,4,1,54.3,4.33,3.04
Wisconsin,2010,4,1,46,3.07,3.1
Michigan,2010,4,1,47.5,4.09,3.57
Indiana,2010,4,1,53.8,4.13,3.01
Ohio,2010,4,1,53.3,2.97,2.09
Pennsylvania,2010,4,1,53,3.73,0.56
New York,2010,4,1,51.3,3.98,1.51
Maine,2010,4,1,48.5,6.2,2.05
New Hampshire,2010,4,1,49.8,5.67,1.64
Vermont,2010,4,1,49.3,5.13,1.03
Massachusetts,2010,4,1,53.3,6.2,0.77
Connecticut,2010,4,1,54.1,4.67,-1.31
Rhode Island,2010,4,1,55.3,4.45,-0.94
New Jersey,2010,4,1,57,3.64,-0.5
Delaware,2010,4,1,72.8,2.6,0.15
Maryland,2010,4,1,58.2,3.37,-0.31
West Virginia,2010,4,3,53.9,5.19,0.89
Virginia,2010,4,2,57.9,4.03,0.5
North Carolina,2010,4,1,61.4,2.89,0.55
South Carolina,2010,4,1,65,1.81,-0.86
Georgia,2010,4,1,65.6,2.78,-0.9
Alabama,2010,4,1,65.2,4.38,-0.33
Florida,2010,4,1,72.7,2.48,-0.38
California,2010,5,2,53.1,1.84,-5.22
Oregon,2010,5,1,38.2,4.14,-0.56
Washington,2010,5,1,36.3,6.1,0.98
Montana,2010,5,1,25.3,1.98,1.91
Idaho,2010,5,1,31.1,3.32,-0.76
North Dakota,2010,5,2,20.2,0.46,4.6
Nevada,2010,5,1,41.5,0.71,-3.57
Arizona,2010,5,1,51.7,0.11,-1.77
Utah,2010,5,1,37.7,0.75,-0.98
South Dakota,2010,5,1,25.6,0.62,4.55
Wyoming,2010,5,1,27.4,1.41,1.97
Minnesota,2010,5,1,21.5,0.81,-0.64
Colorado,2010,5,1,49.9,1.08,0.68
New Mexico,2010,5,2,42.4,0.63,-1.38
Texas,2010,5,1,51.5,2.83,-1.24
Oklahoma,2010,5,1,44.4,2.2,0.25
Kansas,2010,5,1,38.5,0.29,-0.09
Nebraska,2010,5,1,32.2,0.32,1.86
Iowa,2010,5,1,29.3,0.76,3.34
Missouri,2010,5,1,37.8,1.72,1.71
Arkansas,2010,5,1,44.9,2.68,0.93
Louisiana,2010,5,1,53.1,3.5,0.55
Mississippi,2010,5,1,48.8,3.17,1.02
Tennessee,2010,5,1,42.4,3.22,2.95
Kentucky,2010,5,1,39.8,2.43,2.35
Illinois,2010,5,1,34.6,1.86,3.04
Wisconsin,2010,5,1,25.3,2.03,3.17
Michigan,2010,5,1,30.3,3.51,4.42
Indiana,2010,5,1,35.6,2.66,3.21
Ohio,2010,5,1,36.8,1.93,1.76
Pennsylvania,2010,5,1,36.7,2.44,0.1
New York,2010,5,1,35.3,2.72,0.9
Maine,2010,5,1,31.8,3.5,1.4
New Hampshire,2010,5,1,33.8,3.27,0.77
Vermont,2010,5,1,33.3,2.55,-0.24
Massachusetts,2010,5,1,38.8,4.71,1
Connecticut,2010,5,1,39.7,4.16,-1.31
Rhode Island,2010,5,1,41.4,5.14,-0.33
New Jersey,2010,5,1,42,4.34,-0.25
Delaware,2010,5,1,75.8,5.24,0.44
Maryland,2010,5,1,42.7,3.08,-0.56
West Virginia,2010,5,1,37.9,2.31,0.83
Virginia,2010,5,1,42.1,3.13,0.74
North Carolina,2010,5,1,45.8,3.77,1.35
South Carolina,2010,5,1,49.3,4.44,0.63
Georgia,2010,5,1,49.8,4.36,0.21
Alabama,2010,5,1,48.3,2.98,-0.66
Florida,2010,5,1,61.1,4.06,1.09
California,2010,6,4,46.8,6.3,-3.12
Oregon,2010,6,1,36,6.22,0.16
Washington,2010,6,1,34.2,6.23,0.29
Montana,2010,6,1,25,1.3,1.92
Idaho,2010,6,1,29.1,3.3,-0.33
North Dakota,2010,6,3,18.3,0.17,3.57
Nevada,2010,6,1,35.6,1.33,-3.04
Arizona,2010,6,1,44.3,1.47,-1.35
Utah,2010,6,1,31.7,1.26,-0.87
South Dakota,2010,6,0,24.2,0.67,4.69
Wyoming,2010,6,1,24.8,1.35,2.52
Minnesota,2010,6,1,20.4,0.73,-1.17
Colorado,2010,6,1,33.4,1.12,0.72
New Mexico,2010,6,3,37.7,0.75,-1.38
Texas,2010,6,1,50.7,1.22,-1.68
Oklahoma,2010,6,1,41.8,1.44,-0.24
Kansas,2010,6,1,34.7,1.34,0.37
Nebraska,2010,6,1,28,1.12,2.44
Iowa,2010,6,1,28.2,1.1,3.19
Missouri,2010,6,1,36.7,2.2,1.62
Arkansas,2010,6,1,43.8,3.01,-0.1
Louisiana,2010,6,1,53.7,4.15,-0.52
Mississippi,2010,6,1,50.2,5.72,0.82
Tennessee,2010,6,1,42.8,4.59,2.41
Kentucky,2010,6,1,39.7,3.36,1.84
Illinois,2010,6,1,33.9,1.9,2.76
Wisconsin,2010,6,1,24.1,1.36,3.05
Michigan,2010,6,1,28.2,1.77,3.9
Indiana,2010,6,1,34.6,2.59,2.91
Ohio,2010,6,1,35.3,2.52,1.78
Pennsylvania,2010,6,1,34,2.96,-0.09
New York,2010,6,1,30.3,3.49,1.06
Maine,2010,6,1,26,6.08,2.74
New Hampshire,2010,6,1,28.7,5.47,1.96
Vermont,2010,6,1,27,4.63,0.94
Massachusetts,2010,6,1,34.7,5.61,1.5
Connecticut,2010,6,1,35.4,4.88,-0.43
Rhode Island,2010,6,1,37.4,6.02,0.73
New Jersey,2010,6,1,38.7,4.65,0.53
Maryland,2010,6,1,39.6,3.53,-0.34
West Virginia,2010,6,1,37.9,3.33,0.72
Virginia,2010,6,1,40.8,3.21,0.65
North Carolina,2010,6,1,45.1,3.76,1.25
South Carolina,2010,6,1,49.2,3.94,0.77
Georgia,2010,6,1,51.3,5.31,0.76
Alabama,2010,6,1,50,6.36,-0.1
Florida,2010,6,1,61.9,2.78,1.09
California,2010,7,1,48.6,0.65,-4.83
Oregon,2010,7,1,38.1,1.98,-1.79
Washington,2010,7,1,35.1,4.96,-0.58
Montana,2010,7,1,24.7,1.18,1.73
Idaho,2010,7,1,28.7,2.06,-0.71
North Dakota,2010,7,1,16,0.48,3.26
Nevada,2010,7,1,37.7,0.5,-4.04
Arizona,2010,7,1,45.1,1.79,-0.49
Utah,2010,7,1,32.1,0.92,-1.25
South Dakota,2010,7,0,22.7,0.27,4.06
Wyoming,2010,7,1,25.7,0.62,1.68
Minnesota,2010,7,1,13.7,0.49,-1.57
Colorado,2010,7,1,27.9,1.31,1.03
New Mexico,2010,7,1,35.6,1.41,0.14
Texas,2010,7,1,44,2.67,-0.23
Oklahoma,2010,7,1,37.7,1.21,-0.34
Kansas,2010,7,1,32.1,0.37,-0.05
Nebraska,2010,7,1,27.2,0.21,1.77
Iowa,2010,7,1,21.6,0.52,2.56
Missouri,2010,7,1,31.2,1.19,0.92
Arkansas,2010,7,1,38.6,3.49,-0.38
Louisiana,2010,7,1,47.2,5.86,0
Mississippi,2010,7,1,43.8,4.7,0.35
Tennessee,2010,7,1,36.1,2.81,0.83
Kentucky,2010,7,1,32.3,1.97,0.23
Illinois,2010,7,1,25.7,1.5,2.2
Wisconsin,2010,7,1,15.3,0.53,2.04
Michigan,2010,7,1,16.6,1.28,2.78
Indiana,2010,7,1,25.3,2.11,2.32
Ohio,2010,7,1,24.4,2.46,1.57
Pennsylvania,2010,7,1,22.5,2.44,-0.55
New York,2010,7,1,16.2,2.34,0.35
Maine,2010,7,1,11.7,3.17,2.39
New Hampshire,2010,7,1,14.6,3.35,1.72
Vermont,2010,7,1,12.2,2.79,0.61
Massachusetts,2010,7,1,21.8,4.03,1.47
Connecticut,2010,7,1,23.3,3.47,-0.47
Rhode Island,2010,7,1,25.5,3.71,0.61
New Jersey,2010,7,1,27.9,4.43,0.88
Maryland,2010,7,1,30.7,3.79,0.14
West Virginia,2010,7,1,28.8,2.41,-0.42
Virginia,2010,7,1,33.8,2.59,0.09
North Carolina,2010,7,1,39.4,3.95,1.24
South Carolina,2010,7,1,43.8,3.56,0.69
Georgia,2010,7,1,44.9,3.64,0.32
Alabama,2010,7,1,43.6,4.34,-0.52
Florida,2010,7,1,58.6,2.84,0.91
California,2010,8,1,53.2,2.86,-4.85
Oregon,2010,8,1,41.7,3.58,-2.01
Washington,2010,8,1,40.7,4.3,-0.89
Montana,2010,8,1,26.9,0.9,1.55
Idaho,2010,8,1,35.2,1.86,-1.49
North Dakota,2010,8,1,8.4,0.41,2.95
Nevada,2010,8,1,42.8,0.58,-4.73
Arizona,2010,8,1,52,0.64,-1.43
Utah,2010,8,1,38.9,0.63,-2.63
South Dakota,2010,8,1,19.5,0.34,3.48
Wyoming,2010,8,1,28.4,0.94,1.62
Minnesota,2010,8,1,5.6,0.47,-1.75
Colorado,2010,8,1,29.2,0.65,0.11
New Mexico,2010,8,1,41.4,0.72,0
Texas,2010,8,1,48.2,1.09,-0.41
Oklahoma,2010,8,1,37.8,1.18,-0.46
Kansas,2010,8,1,31.2,0.83,-0.02
Nebraska,2010,8,1,26.1,0.68,1.85
Missouri,2010,8,1,26.2,1.7,0.63
Arkansas,2010,8,1,36.1,3.18,-0.67
Louisiana,2010,8,1,47.5,3.03,-0.74
Mississippi,2010,8,1,41.9,4.09,-0.2
Tennessee,2010,8,1,31.4,4.56,0.75
Kentucky,2010,8,1,26.3,3.26,-0.09
Illinois,2010,8,1,19.4,1.43,1.61
Wisconsin,2010,8,1,7.6,0.42,0.94
Michigan,2010,8,1,8,0.97,1.57
Indiana,2010,8,1,19.3,1.4,1.25
Ohio,2010,8,1,17.3,1.47,0.5
Pennsylvania,2010,8,1,16.1,1.52,-1.08
New York,2010,8,1,9.2,2,-0.46
Maine,2010,8,1,5.2,1.74,0.79
New Hampshire,2010,8,1,8.1,2.42,0.81
Vermont,2010,8,1,5.3,1.79,-0.49
Massachusetts,2010,8,1,14.6,2.99,0.96
Connecticut,2010,8,1,15.8,2.01,-1.41
Rhode Island,2010,8,1,17.7,2.67,-0.32
New Jersey,2010,8,2,22.3,2.18,0.45
Maryland,2010,8,1,25.3,2.03,-0.47
West Virginia,2010,8,1,22.9,2.74,-0.49
Virginia,2010,8,1,28.9,2.66,-0.15
North Carolina,2010,8,1,34.9,3.5,1.07
South Carolina,2010,8,1,41.1,4.06,0.83
Georgia,2010,8,1,43.3,4.49,0.47
Alabama,2010,8,1,41.3,4.05,-0.74
Florida,2010,8,1,56.6,3.23,1.01
California,2010,9,1,56.9,0.78,-5.67
Oregon,2010,9,0,45.7,2.59,-2.65
Washington,2010,9,1,44.8,4.32,-1.09
Montana,2010,9,1,39.5,0.99,-0.19
Idaho,2010,9,1,40.8,1.51,-2.62
North Dakota,2010,9,1,33,0.42,2.02
Nevada,2010,9,1,47.6,0.38,-5.76
Arizona,2010,9,1,56.3,1.12,-1.92
Utah,2010,9,1,44.9,0.85,-3.61
South Dakota,2010,9,1,39,0.24,1.07
Wyoming,2010,9,1,37.7,0.58,-0.93
Minnesota,2010,9,1,30.7,0.6,-2.3
Colorado,2010,9,1,32.1,1.35,0.48
New Mexico,2010,9,2,47.6,0.71,-0.34
Texas,2010,9,1,56.2,3.47,1.48
Oklahoma,2010,9,1,51.1,2.41,-0.47
Kansas,2010,9,1,46.8,0.49,-1.09
Nebraska,2010,9,1,42.9,0.24,-0.63
Iowa,2010,9,1,14.5,1.11,2.71
Missouri,2010,9,1,44.5,3.24,0.39
Arkansas,2010,9,1,49.7,8.02,0.98
Louisiana,2010,9,1,60.5,5.85,-0.47
Mississippi,2010,9,1,57.7,6.4,-0.23
Tennessee,2010,9,1,48.9,5.41,0.51
Kentucky,2010,9,1,44.5,6.34,1.08
Illinois,2010,9,1,38.3,2.35,0.82
Wisconsin,2010,9,1,30.7,0.73,-0.51
Michigan,2010,9,1,28.6,0.87,-0.32
Indiana,2010,9,1,37.2,3.54,1.27
Ohio,2010,9,1,35.9,3.52,0.83
Pennsylvania,2010,9,1,31.6,3.19,-0.81
New York,2010,9,1,25.5,1.61,-1.44
Maine,2010,9,1,21.6,1.78,-0.97
New Hampshire,2010,9,1,23.8,1.65,-1.03
Vermont,2010,9,1,22.3,1.34,-1.39
Massachusetts,2010,9,1,29.4,2.84,-0.04
Connecticut,2010,9,1,31,3.05,-1.53
Rhode Island,2010,9,1,31.8,4.14,0.34
New Jersey,2010,9,1,35.9,4.55,0.76
Maryland,2010,9,2,39.4,4.26,0.32
West Virginia,2010,9,1,40,5.36,0.76
Virginia,2010,9,1,44.2,3.75,-0.13
North Carolina,2010,9,1,50.7,3.43,-0.29
South Carolina,2010,9,1,56.4,3.18,-0.47
Georgia,2010,9,1,58.8,2.81,-0.83
Alabama,2010,9,1,57.8,4.28,-1.3
Florida,2010,9,1,69.5,2,-0.84
California,2010,10,1,56.7,1.06,-5.52
Oregon,2010,10,1,44.7,1.55,-2.8
Washington,2010,10,0,45.7,1.82,-1.48
Montana,2010,10,1,42.9,1.08,-1.08
Idaho,2010,10,0,42.3,1.23,-2.86
North Dakota,2010,10,1,44.3,0.59,0.2
Nevada,2010,10,1,47.8,0.7,-5.98
Arizona,2010,10,1,58.4,0.42,-2.66
Utah,2010,10,1,47.1,0.98,-3.76
South Dakota,2010,10,1,47.7,0.87,-1.08
Wyoming,2010,10,1,41.3,1.7,-1.56
Minnesota,2010,10,1,44.7,1.39,-2.78
Colorado,2010,10,1,40.6,0.86,-0.92
New Mexico,2010,10,4,52.5,0.74,-0.37
Texas,2010,10,1,66.6,3.96,2.2
Oklahoma,2010,10,1,61.4,4.85,0.57
Kansas,2010,10,1,56.4,2.76,-0.93
Nebraska,2010,10,1,50.5,2.64,-0.59
Iowa,2010,10,1,37.3,0.56,0.74
Missouri,2010,10,1,57.7,3.53,-0.27
Arkansas,2010,10,1,62.5,5.75,1.07
Louisiana,2010,10,1,69.9,8.19,0.91
Mississippi,2010,10,1,67,6.09,-0.07
Tennessee,2010,10,1,60.1,5.96,1.3
Kentucky,2010,10,1,57.4,8.28,2.85
Illinois,2010,10,1,54.3,3.41,0.14
Wisconsin,2010,10,1,45,2.94,-0.48
Michigan,2010,10,1,43.2,2.46,-0.73
Indiana,2010,10,1,52.9,4.79,1.7
Ohio,2010,10,1,51.5,4.58,1.51
Pennsylvania,2010,10,1,48.4,3.86,-0.44
New York,2010,10,1,43.3,3.02,-1.5
Maine,2010,10,1,37.8,3.08,-1.15
New Hampshire,2010,10,1,40.6,2.8,-1.29
Vermont,2010,10,1,39.5,2.71,-1.55
Massachusetts,2010,10,1,45.5,2.55,-0.94
Connecticut,2010,10,1,47,2.74,-1.89
Rhode Island,2010,10,1,47.1,2.51,-0.74
New Jersey,2010,10,1,51.5,2.66,-0.49
Maryland,2010,10,0,54.1,3.64,0.29
West Virginia,2010,10,1,53.1,6.34,1.77
Virginia,2010,10,1,55.9,4.51,0.52
North Carolina,2010,10,1,60,4.35,0.32
South Carolina,2010,10,1,64.8,4.47,0.5
Georgia,2010,10,1,66.8,6.2,0.55
Alabama,2010,10,1,66,7.14,0.19
Florida,2010,10,1,75.1,4.28,-0.74
California,2010,11,1,53.8,1.33,-2.43
Oregon,2010,11,1,40.9,1.86,-2.37
Washington,2010,11,1,40.2,3.75,-1.49
Montana,2010,11,1,30.5,0.91,-3
Idaho,2010,11,1,35.1,1.47,-1.66
North Dakota,2010,11,1,17.6,0.97,0.13
Nevada,2010,11,1,44.7,0.42,-4.08
Arizona,2010,11,1,54.8,0.57,-3.08
Utah,2010,11,1,41.1,0.73,-4.16
South Dakota,2010,11,1,28.1,0.67,-3.51
Wyoming,2010,11,1,31.3,0.71,-6.52
Minnesota,2010,11,1,20.6,1.7,-1.86
Colorado,2010,11,1,25.7,0.89,-6.35
New Mexico,2010,11,2,46.6,0.22,-4.74
Texas,2010,11,1,57.3,0.66,-4.32
Oklahoma,2010,11,1,47.5,1.59,-3.75
Kansas,2010,11,1,40.3,1.21,-3.46
Nebraska,2010,11,1,34.8,0.95,-5.06
Iowa,2010,11,1,29,2.09,-3.57
Missouri,2010,11,1,38.3,3.48,-0.45
Arkansas,2010,11,1,46.6,3.51,-1.6
Louisiana,2010,11,1,55.3,1.47,0.14
Mississippi,2010,11,1,50.4,4,1.64
Tennessee,2010,11,1,42.7,4.97,-0.07
Kentucky,2010,11,1,39.4,4.95,0.25
Illinois,2010,11,1,34.3,2.61,0.21
Wisconsin,2010,11,1,23.9,1.93,0.33
Michigan,2010,11,1,27.8,1.36,0.32
Indiana,2010,11,1,34.8,2.3,-0.37
Ohio,2010,11,1,35,2.42,0.31
Pennsylvania,2010,11,1,33.9,2.14,-0.77
New York,2010,11,1,30.6,1.8,-1.11
Maine,2010,11,1,30.3,2.45,-1.21
New Hampshire,2010,11,1,30.8,2.29,-0.87
Vermont,2010,11,1,29.5,2.38,-1.6
Massachusetts,2010,11,1,34.9,3.11,-0.33
Connecticut,2010,11,1,36,2.35,-2.12
Rhode Island,2010,11,1,37.1,2.49,-0.81
New Jersey,2010,11,1,38.6,2.89,-0.42
Delaware,2010,11,1,40.5,3.54,-0.42
Maryland,2010,11,1,39.7,3.25,-0.5
West Virginia,2010,11,1,36.4,3.28,-0.56
Virginia,2010,11,1,40.1,3.7,0.32
North Carolina,2010,11,1,44,2.67,-0.58
South Carolina,2010,11,1,48.4,3.35,-0.11
Georgia,2010,11,3,50.3,3.99,0.49
Alabama,2010,11,1,49.8,3.83,0.45
Florida,2010,11,1,59.1,1.94,-1.29
California,2010,12,1,58.2,0.71,-2.83
Oregon,2010,12,1,44.6,2.17,-2.22
Washington,2010,12,1,44.7,4.23,0.48
Montana,2010,12,1,36.9,1.5,-2.32
Idaho,2010,12,1,40.1,1.81,-1.42
North Dakota,2010,12,1,31.3,1.06,0.83
Nevada,2010,12,3,48.4,0.51,-4.42
Arizona,2010,12,5,59.4,0.2,-3.46
Utah,2010,12,2,45,1.28,-3.75
South Dakota,2010,12,1,36.9,2.33,-1.92
Wyoming,2010,12,1,34.7,1.87,-6.11
Minnesota,2010,12,1,34,3.05,0.81
Colorado,2010,12,1,35,1.07,-6.67
New Mexico,2010,12,1,52.6,0.18,-5.14
Texas,2010,12,1,63,1.77,-4.2
Oklahoma,2010,12,1,54.7,3.81,-2.36
Kansas,2010,12,1,48.5,2.44,-2.52
Nebraska,2010,12,1,42.5,2.77,-3.84
Iowa,2010,12,1,43.8,6.43,1
Missouri,2010,12,1,52.1,6.21,1.9
Arkansas,2010,12,1,58.5,5.23,-0.9
Louisiana,2010,12,2,64.6,6.7,1.3
Mississippi,2010,12,5,62.1,6.62,2.29
Tennessee,2010,12,1,56.8,7.88,2.08
Kentucky,2010,12,1,55.2,4.96,0.96
Illinois,2010,12,1,50.2,6.93,2.27
Wisconsin,2010,12,1,37.8,4.85,2.41
Michigan,2010,12,1,39.5,5.72,3.1
Indiana,2010,12,1,50.8,6.38,1.45
Ohio,2010,12,1,50.6,3.84,0.42
Pennsylvania,2010,12,1,48.7,3.02,-1.12
New York,2010,12,1,43.4,3.1,-1.24
Maine,2010,12,1,39.1,1.98,-1.82
New Hampshire,2010,12,1,42,2.44,-1.41
