STATENAME,URL,WEBSITE,ACTIVITY LEVEL,ACTIVITY LEVEL LABEL,WEEKEND,WEEK,SEASON
New Mexico,https://nmhealth.org/about/erd/ideb/isp/,Flu in New Mexico,Level 0,Insufficient Data,Sep-05-2015,35,2014-15
Iowa,http://idph.iowa.gov/influenza/surveillance,Iowa Influenza Surveillance Network,Level 0,Insufficient Data,Sep-12-2015,36,2014-15
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Sep-05-2015,35,2014-15
Idaho,http://healthandwelfare.idaho.gov/Health/DiseasesConditions/SeasonalInfluenzaFlu/tabid/327/Default.aspx,Influenza,Level 0,Insufficient Data,Sep-12-2015,36,2014-15
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Sep-12-2015,36,2014-15
Iowa,http://idph.iowa.gov/influenza/surveillance,Iowa Influenza Surveillance Network,Level 0,Insufficient Data,Sep-19-2015,37,2014-15
South Dakota,http://doh.sd.gov/diseases/infectious/flu/default.aspx,Influenza Information,Level 0,Insufficient Data,Sep-19-2015,37,2014-15
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Sep-19-2015,37,2014-15
Iowa,http://idph.iowa.gov/influenza/surveillance,Iowa Influenza Surveillance Network,Level 0,Insufficient Data,Sep-26-2015,38,2014-15
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Sep-26-2015,38,2014-15
New York,http://www.health.ny.gov/diseases/communicable/influenza/surveillance/,"Influenza Activity, Surveillance and Reports",Level 0,Insufficient Data,Oct-03-2015,39,2014-15
South Dakota,http://doh.sd.gov/diseases/infectious/flu/default.aspx,Influenza Information,Level 0,Insufficient Data,Sep-26-2015,38,2014-15
South Dakota,http://doh.sd.gov/diseases/infectious/flu/default.aspx,Influenza Information,Level 0,Insufficient Data,Oct-03-2015,39,2014-15
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Oct-03-2015,39,2014-15
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Oct-10-2015,40,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Oct-17-2015,41,2015-16
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Oct-17-2015,41,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Oct-24-2015,42,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Oct-31-2015,43,2015-16
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Oct-24-2015,42,2015-16
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Oct-31-2015,43,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Nov-07-2015,44,2015-16
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Nov-07-2015,44,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Nov-14-2015,45,2015-16
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Nov-14-2015,45,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Nov-21-2015,46,2015-16
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Nov-21-2015,46,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Nov-28-2015,47,2015-16
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Nov-28-2015,47,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Dec-05-2015,48,2015-16
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Dec-05-2015,48,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Dec-12-2015,49,2015-16
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Dec-12-2015,49,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Dec-19-2015,50,2015-16
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Dec-19-2015,50,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Dec-26-2015,51,2015-16
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Dec-26-2015,51,2015-16
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Jan-02-2016,52,2015-16
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Oct-04-2008,40,2008-09
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Oct-11-2008,41,2008-09
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Oct-18-2008,42,2008-09
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Nov-01-2008,44,2008-09
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Oct-25-2008,43,2008-09
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Nov-08-2008,45,2008-09
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Nov-22-2008,47,2008-09
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Nov-29-2008,48,2008-09
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Dec-06-2008,49,2008-09
Louisiana,http://new.dhh.louisiana.gov/index.cfm/page/1591,Influenza,Level 0,Insufficient Data,Dec-13-2008,50,2008-09
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Dec-13-2008,50,2008-09
Louisiana,http://new.dhh.louisiana.gov/index.cfm/page/1591,Influenza,Level 0,Insufficient Data,Dec-20-2008,51,2008-09
Virginia,http://www.vdh.virginia.gov/epidemiology/influenza-flu-in-virginia/influenza-surveillance/,Virginia Weekly Influenza Activity Report,Level 0,Insufficient Data,Dec-20-2008,51,2008-09
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Dec-20-2008,51,2008-09
Louisiana,http://new.dhh.louisiana.gov/index.cfm/page/1591,Influenza,Level 0,Insufficient Data,Dec-27-2008,52,2008-09
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Dec-27-2008,52,2008-09
Louisiana,http://new.dhh.louisiana.gov/index.cfm/page/1591,Influenza,Level 0,Insufficient Data,Jan-03-2009,53,2008-09
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Jan-03-2009,53,2008-09
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Jan-10-2009,1,2008-09
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Jan-17-2009,2,2008-09
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Jan-24-2009,3,2008-09
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Jan-31-2009,4,2008-09
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Feb-07-2009,5,2008-09
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Feb-14-2009,6,2008-09
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Feb-21-2009,7,2008-09
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Feb-28-2009,8,2008-09
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Mar-07-2009,9,2008-09
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Mar-14-2009,10,2008-09
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Mar-21-2009,11,2008-09
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Mar-28-2009,12,2008-09
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Apr-04-2009,13,2008-09
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Apr-18-2009,15,2008-09
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Apr-25-2009,16,2008-09
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,May-02-2009,17,2008-09
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,May-09-2009,18,2008-09
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,May-16-2009,19,2008-09
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Level 0,Insufficient Data,May-23-2009,20,2008-09
Connecticut,http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics,Flu Statistics,Level 0,Insufficient Data,May-23-2009,20,2008-09
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,May-23-2009,20,2008-09
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Level 0,Insufficient Data,May-30-2009,21,2008-09
Connecticut,http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics,Flu Statistics,Level 0,Insufficient Data,May-30-2009,21,2008-09
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,May-30-2009,21,2008-09
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Level 0,Insufficient Data,Jun-06-2009,22,2008-09
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Jun-06-2009,22,2008-09
Connecticut,http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics,Flu Statistics,Level 0,Insufficient Data,Jun-13-2009,23,2008-09
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Level 0,Insufficient Data,Jun-13-2009,23,2008-09
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Jun-13-2009,23,2008-09
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Level 0,Insufficient Data,Jun-20-2009,24,2008-09
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Level 0,Insufficient Data,Jun-27-2009,25,2008-09
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Jun-20-2009,24,2008-09
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Jun-27-2009,25,2008-09
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Level 0,Insufficient Data,Jul-04-2009,26,2008-09
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Level 0,Insufficient Data,Jul-11-2009,27,2008-09
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Jul-04-2009,26,2008-09
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Jul-11-2009,27,2008-09
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Level 0,Insufficient Data,Jul-18-2009,28,2008-09
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Jul-18-2009,28,2008-09
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Jul-25-2009,29,2008-09
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Aug-01-2009,30,2008-09
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Aug-08-2009,31,2008-09
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Level 0,Insufficient Data,Aug-15-2009,32,2008-09
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Aug-15-2009,32,2008-09
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Aug-22-2009,33,2008-09
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Aug-29-2009,34,2008-09
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Sep-05-2009,35,2009-10
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Sep-12-2009,36,2009-10
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Sep-19-2009,37,2009-10
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Sep-26-2009,38,2009-10
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Oct-03-2009,39,2009-10
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Oct-10-2009,40,2009-10
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Oct-17-2009,41,2009-10
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Oct-24-2009,42,2009-10
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Oct-31-2009,43,2009-10
South Dakota,http://doh.sd.gov/diseases/infectious/flu/default.aspx,Influenza Information,Level 0,Insufficient Data,Dec-26-2009,51,2009-10
South Dakota,http://doh.sd.gov/diseases/infectious/flu/default.aspx,Influenza Information,Level 0,Insufficient Data,Jan-09-2010,1,2009-10
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Apr-03-2010,13,2009-10
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Mar-27-2010,12,2009-10
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,May-08-2010,18,2009-10
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,May-15-2010,19,2009-10
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,May-22-2010,20,2009-10
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,May-29-2010,21,2009-10
South Dakota,http://doh.sd.gov/diseases/infectious/flu/default.aspx,Influenza Information,Level 0,Insufficient Data,Jun-05-2010,22,2009-10
South Dakota,http://doh.sd.gov/diseases/infectious/flu/default.aspx,Influenza Information,Level 0,Insufficient Data,Jun-12-2010,23,2009-10
South Dakota,http://doh.sd.gov/diseases/infectious/flu/default.aspx,Influenza Information,Level 0,Insufficient Data,Jun-19-2010,24,2009-10
South Dakota,http://doh.sd.gov/diseases/infectious/flu/default.aspx,Influenza Information,Level 0,Insufficient Data,Jun-26-2010,25,2009-10
South Dakota,http://doh.sd.gov/diseases/infectious/flu/default.aspx,Influenza Information,Level 0,Insufficient Data,Jul-03-2010,26,2009-10
South Dakota,http://doh.sd.gov/diseases/infectious/flu/default.aspx,Influenza Information,Level 0,Insufficient Data,Jul-10-2010,27,2009-10
South Dakota,http://doh.sd.gov/diseases/infectious/flu/default.aspx,Influenza Information,Level 0,Insufficient Data,Jul-17-2010,28,2009-10
Oregon,http://public.health.oregon.gov/DiseasesConditions/CommunicableDisease/DiseaseSurveillanceData/Influenza/Pages/surveil.aspx,Influenza Disease Surveillance Data,Level 0,Insufficient Data,Jul-10-2010,27,2009-10
South Dakota,http://doh.sd.gov/diseases/infectious/flu/default.aspx,Influenza Information,Level 0,Insufficient Data,Jul-24-2010,29,2009-10
South Dakota,http://doh.sd.gov/diseases/infectious/flu/default.aspx,Influenza Information,Level 0,Insufficient Data,Jul-31-2010,30,2009-10
Iowa,http://idph.iowa.gov/influenza/surveillance,Iowa Influenza Surveillance Network,Level 0,Insufficient Data,Aug-14-2010,32,2009-10
Iowa,http://idph.iowa.gov/influenza/surveillance,Iowa Influenza Surveillance Network,Level 0,Insufficient Data,Aug-21-2010,33,2009-10
Oregon,http://public.health.oregon.gov/DiseasesConditions/CommunicableDisease/DiseaseSurveillanceData/Influenza/Pages/surveil.aspx,Influenza Disease Surveillance Data,Level 0,Insufficient Data,Jul-24-2010,29,2009-10
Oregon,http://public.health.oregon.gov/DiseasesConditions/CommunicableDisease/DiseaseSurveillanceData/Influenza/Pages/surveil.aspx,Influenza Disease Surveillance Data,Level 0,Insufficient Data,Sep-04-2010,35,2009-10
Oregon,http://public.health.oregon.gov/DiseasesConditions/CommunicableDisease/DiseaseSurveillanceData/Influenza/Pages/surveil.aspx,Influenza Disease Surveillance Data,Level 0,Insufficient Data,Jul-31-2010,30,2009-10
Oregon,http://public.health.oregon.gov/DiseasesConditions/CommunicableDisease/DiseaseSurveillanceData/Influenza/Pages/surveil.aspx,Influenza Disease Surveillance Data,Level 0,Insufficient Data,Sep-11-2010,36,2009-10
Idaho,http://healthandwelfare.idaho.gov/Health/DiseasesConditions/SeasonalInfluenzaFlu/tabid/327/Default.aspx,Influenza,Level 0,Insufficient Data,Sep-18-2010,37,2009-10
Maryland,https://phpa.health.maryland.gov/influenza/fluwatch,Influenza Surveillance,Level 0,Insufficient Data,Sep-18-2010,37,2009-10
Maryland,https://phpa.health.maryland.gov/influenza/fluwatch,Influenza Surveillance,Level 0,Insufficient Data,Sep-25-2010,38,2009-10
Idaho,http://healthandwelfare.idaho.gov/Health/DiseasesConditions/SeasonalInfluenzaFlu/tabid/327/Default.aspx,Influenza,Level 0,Insufficient Data,Sep-25-2010,38,2009-10
Washington,http://www.doh.wa.gov/DataandStatisticalReports/DiseasesandChronicConditions/CommunicableDiseaseSurveillanceData/InfluenzaSurveillanceData,Influenza Update,Level 0,Insufficient Data,Sep-25-2010,38,2009-10
Washington,http://www.doh.wa.gov/DataandStatisticalReports/DiseasesandChronicConditions/CommunicableDiseaseSurveillanceData/InfluenzaSurveillanceData,Influenza Update,Level 0,Insufficient Data,Oct-02-2010,39,2009-10
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Oct-09-2010,40,2010-11
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Oct-16-2010,41,2010-11
Idaho,http://healthandwelfare.idaho.gov/Health/DiseasesConditions/SeasonalInfluenzaFlu/tabid/327/Default.aspx,Influenza,Level 0,Insufficient Data,Oct-02-2010,39,2009-10
Maryland,https://phpa.health.maryland.gov/influenza/fluwatch,Influenza Surveillance,Level 0,Insufficient Data,Oct-02-2010,39,2009-10
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Oct-23-2010,42,2010-11
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Nov-27-2010,47,2010-11
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Dec-04-2010,48,2010-11
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Dec-11-2010,49,2010-11
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Dec-18-2010,50,2010-11
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Dec-25-2010,51,2010-11
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Jan-01-2011,52,2010-11
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Jan-08-2011,1,2010-11
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Jan-15-2011,2,2010-11
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Jan-22-2011,3,2010-11
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Jan-29-2011,4,2010-11
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Feb-05-2011,5,2010-11
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Feb-12-2011,6,2010-11
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Feb-19-2011,7,2010-11
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Feb-26-2011,8,2010-11
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Mar-05-2011,9,2010-11
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Mar-12-2011,10,2010-11
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Mar-19-2011,11,2010-11
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Mar-19-2011,11,2010-11
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Mar-26-2011,12,2010-11
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Apr-02-2011,13,2010-11
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Apr-09-2011,14,2010-11
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Apr-09-2011,14,2010-11
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Apr-16-2011,15,2010-11
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Apr-16-2011,15,2010-11
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Apr-23-2011,16,2010-11
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Apr-30-2011,17,2010-11
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,May-07-2011,18,2010-11
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Apr-23-2011,16,2010-11
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Apr-30-2011,17,2010-11
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,May-07-2011,18,2010-11
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,May-14-2011,19,2010-11
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,May-21-2011,20,2010-11
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,Weekly Influenza Surveillance Reports,Level 0,Insufficient Data,May-28-2011,21,2010-11
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,May-28-2011,21,2010-11
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,Weekly Influenza Surveillance Reports,Level 0,Insufficient Data,Jun-04-2011,22,2010-11
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Jun-04-2011,22,2010-11
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,May-14-2011,19,2010-11
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,May-21-2011,20,2010-11
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,May-28-2011,21,2010-11
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Jun-04-2011,22,2010-11
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Jun-11-2011,23,2010-11
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Jun-18-2011,24,2010-11
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Jun-25-2011,25,2010-11
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Jul-02-2011,26,2010-11
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Jun-11-2011,23,2010-11
Virgin Islands,http://doh.vi.gov/,Influenza,Level 0,Insufficient Data,Jun-18-2011,24,2010-11
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Level 0,Insufficient Data,Jun-25-2011,25,2010-11
Washington,http://www.doh.wa.gov/DataandStatisticalReports/DiseasesandChronicConditions/CommunicableDiseaseSurveillanceData/InfluenzaSurveillanceData,Influenza Update,Level 0,Insufficient Data,Jun-25-2011,25,2010-11
Washington,http://www.doh.wa.gov/DataandStatisticalReports/DiseasesandChronicConditions/CommunicableDiseaseSurveillanceData/InfluenzaSurveillanceData,Influenza Update,Level 0,Insufficient Data,Jul-02-2011,26,2010-11
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Jul-09-2011,27,2010-11
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Jul-16-2011,28,2010-11
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Jul-23-2011,29,2010-11
Washington,http://www.doh.wa.gov/DataandStatisticalReports/DiseasesandChronicConditions/CommunicableDiseaseSurveillanceData/InfluenzaSurveillanceData,Influenza Update,Level 0,Insufficient Data,Jul-09-2011,27,2010-11
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Level 0,Insufficient Data,Jul-02-2011,26,2010-11
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Level 0,Insufficient Data,Jul-16-2011,28,2010-11
Washington,http://www.doh.wa.gov/DataandStatisticalReports/DiseasesandChronicConditions/CommunicableDiseaseSurveillanceData/InfluenzaSurveillanceData,Influenza Update,Level 0,Insufficient Data,Jul-16-2011,28,2010-11
Washington,http://www.doh.wa.gov/DataandStatisticalReports/DiseasesandChronicConditions/CommunicableDiseaseSurveillanceData/InfluenzaSurveillanceData,Influenza Update,Level 0,Insufficient Data,Jul-23-2011,29,2010-11
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Jul-30-2011,30,2010-11
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Aug-06-2011,31,2010-11
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Aug-13-2011,32,2010-11
Iowa,http://idph.iowa.gov/influenza/surveillance,Iowa Influenza Surveillance Network,Level 0,Insufficient Data,Aug-20-2011,33,2010-11
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Aug-27-2011,34,2010-11
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Level 0,Insufficient Data,Jul-23-2011,29,2010-11
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Level 0,Insufficient Data,Jul-30-2011,30,2010-11
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Level 0,Insufficient Data,Aug-06-2011,31,2010-11
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Level 0,Insufficient Data,Aug-13-2011,32,2010-11
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Level 0,Insufficient Data,Aug-20-2011,33,2010-11
District of Columbia,http://doh.dc.gov/page/influenza-season,Influenza Information,Level 0,Insufficient Data,Aug-20-2011,33,2010-11
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Level 0,Insufficient Data,Aug-27-2011,34,2010-11
